Crop,Variety, Stems ,Period
Roses,H3O,5410,14/02/2023
Roses,Inka,5291,14/02/2023
Roses,Madam Cerise,1155,14/02/2023
Roses,Ranuncula,3000,14/02/2023
Roses,Red Calypso,2620,14/02/2023
Roses,Sonrisa,11766,14/02/2023
Roses,Sweet Unique,8652,14/02/2023
Roses,Topsun,3296,14/02/2023
Roses,Tropical Amazon,1395,14/02/2023
Roses,Wild Calypso,925,14/02/2023
Hypericum,Green Revival,3360,15/02/2023
Hypericum,Magical Triumph,32420,15/02/2023
Hypericum,Royal Princess,4400,15/02/2023
Roses,Athena,17346,15/02/2023
Roses,Comanche,9722,15/02/2023
Roses,Flambo,1485,15/02/2023
Roses,Fuchsiana,3160,15/02/2023
Roses,Furiosa,8265,15/02/2023
Roses,H3O,5215,15/02/2023
Roses,Inka,11745,15/02/2023
Roses,Madam Cerise,780,15/02/2023
Roses,Red Calypso,13707,15/02/2023
Roses,Sonrisa,13822,15/02/2023
Roses,Sweet Unique,9656,15/02/2023
Roses,Topsun,8322,15/02/2023
Roses,Tropical Amazon,3294,15/02/2023
Roses,Wild Calypso,9594,15/02/2023
Hypericum,Excellent Flair,20,16/02/2023
Hypericum,Green Revival,8940,16/02/2023
Hypericum,Magical Seasons,20,16/02/2023
Hypericum,Magical Triumph,108410,16/02/2023
Hypericum,Royal Princess,5800,16/02/2023
Hypericum,Snow Prince,20,16/02/2023
Roses,Athena,13608,16/02/2023
Roses,Comanche,7248,16/02/2023
Roses,Flambo,1005,16/02/2023
Roses,Fuchsiana,6481,16/02/2023
Roses,Furiosa,10773,16/02/2023
Roses,H3O,4369,16/02/2023
Roses,Inka,4401,16/02/2023
Roses,Madam Cerise,860,16/02/2023
Roses,Ranuncula,3300,16/02/2023
Roses,Red Calypso,2889,16/02/2023
Roses,Sonrisa,8810,16/02/2023
Roses,Sweet Unique,11279,16/02/2023
Roses,Topsun,4818,16/02/2023
Roses,Tropical Amazon,2927,16/02/2023
Roses,Wild Calypso,2016,16/02/2023
Hypericum,Green Revival,5160,17/02/2023
Hypericum,Magical Triumph,27410,17/02/2023
Hypericum,Royal Princess,1000,17/02/2023
Hypericum,Snow Prince,600,17/02/2023
Roses,Athena,14054,17/02/2023
Roses,Comanche,8574,17/02/2023
Roses,Flambo,2030,17/02/2023
Roses,Fuchsiana,5121,17/02/2023
Roses,Furiosa,12213,17/02/2023
Roses,H3O,3145,17/02/2023
Roses,Inka,3521,17/02/2023
Roses,Madam Cerise,2065,17/02/2023
Roses,Red Calypso,1692,17/02/2023
Roses,Sonrisa,10162,17/02/2023
Roses,Sweet Unique,11128,17/02/2023
Roses,Topsun,4527,17/02/2023
Roses,Tropical Amazon,1849,17/02/2023
Roses,Wild Calypso,3654,17/02/2023
Hypericum,Excellent Flair,170,18/02/2023
Hypericum,Green Revival,7620,18/02/2023
Hypericum,Magical Seasons,20,18/02/2023
Hypericum,Magical Triumph,28296,18/02/2023
Hypericum,Royal Princess,3070,18/02/2023
Hypericum,Snow Prince,320,18/02/2023
Roses,Athena,12040,18/02/2023
Roses,Comanche,10831,18/02/2023
Roses,Flambo,2895,18/02/2023
Roses,Fuchsiana,3826,18/02/2023
Roses,Furiosa,4973,18/02/2023
Roses,H3O,4692,18/02/2023
Roses,Inka,13836,18/02/2023
Roses,Madam Cerise,500,18/02/2023
Roses,Red Calypso,14952,18/02/2023
Roses,Sonrisa,8393,18/02/2023
Roses,Sweet Unique,4477,18/02/2023
Roses,Topsun,4691,18/02/2023
Roses,Tropical Amazon,1599,18/02/2023
Roses,Wild Calypso,4320,18/02/2023
Hypericum,Excellent Flair,20,19/02/2023
Hypericum,Green Revival,820,19/02/2023
Hypericum,Magical Seasons,20,19/02/2023
Hypericum,Magical Triumph,7940,19/02/2023
Hypericum,Royal Princess,1520,19/02/2023
Hypericum,Snow Prince,300,19/02/2023
Roses,Athena,15995,19/02/2023
Roses,Comanche,10874,19/02/2023
Roses,Flambo,5734,19/02/2023
Roses,Fuchsiana,4641,19/02/2023
Roses,Furiosa,9541,19/02/2023
Roses,H3O,7551,19/02/2023
Roses,Inka,9746,19/02/2023
Roses,Madam Cerise,2990,19/02/2023
Roses,Ranuncula,6000,19/02/2023
Roses,Red Calypso,11222,19/02/2023
Roses,Sonrisa,14922,19/02/2023
Roses,Sweet Unique,12457,19/02/2023
Roses,Topsun,5970,19/02/2023
Roses,Tropical Amazon,5665,19/02/2023
Roses,Wild Calypso,11242,19/02/2023
Hypericum,Excellent Flair,1500,20/02/2023
Hypericum,Green Revival,2500,20/02/2023
Hypericum,Magical Triumph,20400,20/02/2023
Hypericum,Royal Princess,1000,20/02/2023
Hypericum,Snow Prince,300,20/02/2023
Roses,Athena,5310,20/02/2023
Roses,Comanche,4425,20/02/2023
Roses,Flambo,285,20/02/2023
Roses,Fuchsiana,6057,20/02/2023
Roses,Furiosa,4142,20/02/2023
Roses,H3O,2715,20/02/2023
Roses,Inka,630,20/02/2023
Roses,Madam Cerise,1020,20/02/2023
Roses,Red Calypso,2331,20/02/2023
Roses,Sonrisa,7419,20/02/2023
Roses,Sweet Unique,7379,20/02/2023
Roses,Topsun,2577,20/02/2023
Roses,Tropical Amazon,2232,20/02/2023
Roses,Wild Calypso,2016,20/02/2023
Hypericum,Green Revival,10150,21/02/2023
Hypericum,Magical Seasons,50,21/02/2023
Hypericum,Magical Triumph,79630,21/02/2023
Hypericum,Royal Princess,4720,21/02/2023
Hypericum,Snow Prince,350,21/02/2023
Roses,Athena,15640,21/02/2023
Roses,Comanche,10205,21/02/2023
Roses,Flambo,854,21/02/2023
Roses,Fuchsiana,6660,21/02/2023
Roses,Furiosa,11552,21/02/2023
Roses,H3O,10070,21/02/2023
Roses,Inka,360,21/02/2023
Roses,Madam Cerise,1275,21/02/2023
Roses,Ranuncula,3000,21/02/2023
Roses,Red Calypso,4896,21/02/2023
Roses,Sonrisa,11835,21/02/2023
Roses,Sweet Unique,5175,21/02/2023
Roses,Topsun,9048,21/02/2023
Roses,Tropical Amazon,2083,21/02/2023
Roses,Wild Calypso,4248,21/02/2023
Hypericum,Excellent Flair,1000,22/02/2023
Hypericum,Green Revival,5320,22/02/2023
Hypericum,Magical Triumph,25930,22/02/2023
Hypericum,Royal Princess,2250,22/02/2023
Roses,Athena,10535,22/02/2023
Roses,Comanche,6167,22/02/2023
Roses,Flambo,635,22/02/2023
Roses,Fuchsiana,3416,22/02/2023
Roses,Furiosa,8900,22/02/2023
Roses,H3O,2735,22/02/2023
Roses,Inka,3376,22/02/2023
Roses,Madam Cerise,2390,22/02/2023
Roses,Red Calypso,3552,22/02/2023
Roses,Sonrisa,10322,22/02/2023
